league_id,match_id,team1_id,team2_id,date,status,team1,team2,prob1,prob2,probtie,timestamp
1908,400987417,17223,74639,2018-06-14,pre,Russia,Saudi Arabia,0.6615,0.12,0.2184,2018-06-10 17:42:03 UTC
1908,400987418,74714,83509,2018-06-15,pre,Egypt,Uruguay,0.1845,0.5433,0.2723,2018-06-10 17:42:03 UTC
1908,400987419,74716,74621,2018-06-15,pre,Morocco,Iran,0.4004,0.2667,0.333,2018-06-10 17:42:03 UTC
1908,400987420,17222,17224,2018-06-15,pre,Portugal,Spain,0.2459,0.4809,0.2732,2018-06-10 17:42:03 UTC
1908,400987421,17216,74630,2018-06-16,pre,France,Australia,0.7694,0.0746,0.156,2018-06-10 17:42:03 UTC
1908,400987422,14462,65687,2018-06-16,pre,Argentina,Iceland,0.6091,0.1504,0.2406,2018-06-10 17:42:03 UTC
1908,400987423,74808,17214,2018-06-16,pre,Peru,Denmark,0.2942,0.418,0.2878,2018-06-10 17:42:03 UTC
1908,400987424,17212,74721,2018-06-16,pre,Croatia,Nigeria,0.5062,0.2038,0.29,2018-06-10 17:42:03 UTC
1908,400987425,14467,65694,2018-06-17,pre,Costa Rica,Serbia,0.2312,0.489,0.2798,2018-06-10 17:42:03 UTC
1908,400987426,17217,14477,2018-06-17,pre,Germany,Mexico,0.6276,0.1537,0.2187,2018-06-10 17:42:03 UTC
1908,400987427,14463,17226,2018-06-17,pre,Brazil,Switzerland,0.5884,0.1643,0.2473,2018-06-10 17:42:03 UTC
1908,400987428,17225,74634,2018-06-18,pre,Sweden,South Korea,0.5443,0.189,0.2667,2018-06-10 17:42:03 UTC
1908,400987429,65707,74918,2018-06-18,pre,Belgium,Panama,0.7679,0.0668,0.1653,2018-06-10 17:42:03 UTC
1908,400987430,74636,17215,2018-06-18,pre,Tunisia,England,0.0944,0.6874,0.2182,2018-06-10 17:42:03 UTC
1908,400987432,74712,74631,2018-06-19,pre,Colombia,Japan,0.4844,0.2316,0.284,2018-06-10 17:42:03 UTC
1908,400987431,65710,74723,2018-06-19,pre,Poland,Senegal,0.4546,0.2584,0.287,2018-06-10 17:42:03 UTC
1908,400987433,17223,74714,2018-06-19,pre,Russia,Egypt,0.5296,0.1917,0.2787,2018-06-10 17:42:03 UTC
1908,400987434,17222,74716,2018-06-20,pre,Portugal,Morocco,0.5227,0.186,0.2913,2018-06-10 17:42:03 UTC
1908,400987435,83509,74639,2018-06-20,pre,Uruguay,Saudi Arabia,0.6816,0.1124,0.2059,2018-06-10 17:42:03 UTC
1908,400987436,74621,17224,2018-06-20,pre,Iran,Spain,0.0589,0.7679,0.1732,2018-06-10 17:42:03 UTC
1908,400987438,17214,74630,2018-06-21,pre,Denmark,Australia,0.555,0.1975,0.2475,2018-06-10 17:42:03 UTC
1908,400987437,17216,74808,2018-06-21,pre,France,Peru,0.5994,0.1646,0.2361,2018-06-10 17:42:03 UTC
1908,400987439,14462,17212,2018-06-21,pre,Argentina,Croatia,0.4207,0.2737,0.3056,2018-06-10 17:42:03 UTC
1908,400987440,14463,14467,2018-06-22,pre,Brazil,Costa Rica,0.7961,0.0478,0.1561,2018-06-10 17:42:03 UTC
1908,400987441,74721,65687,2018-06-22,pre,Nigeria,Iceland,0.36,0.3433,0.2967,2018-06-10 17:42:03 UTC
1908,400987442,65694,17226,2018-06-22,pre,Serbia,Switzerland,0.3078,0.4094,0.2828,2018-06-10 17:42:03 UTC
1908,400987443,65707,74636,2018-06-23,pre,Belgium,Tunisia,0.7495,0.0804,0.1702,2018-06-10 17:42:03 UTC
1908,400987445,74634,14477,2018-06-23,pre,South Korea,Mexico,0.204,0.5297,0.2663,2018-06-10 17:42:03 UTC
1908,400987444,17217,17225,2018-06-23,pre,Germany,Sweden,0.6113,0.1633,0.2254,2018-06-10 17:42:03 UTC
1908,400987446,17215,74918,2018-06-24,pre,England,Panama,0.7046,0.0793,0.2162,2018-06-10 17:42:03 UTC
1908,400987447,74631,74723,2018-06-24,pre,Japan,Senegal,0.3945,0.3065,0.2989,2018-06-10 17:42:03 UTC
1908,400987448,65710,74712,2018-06-24,pre,Poland,Colombia,0.2811,0.4305,0.2883,2018-06-10 17:42:03 UTC
1908,400987449,74639,74714,2018-06-25,pre,Saudi Arabia,Egypt,0.2419,0.4737,0.2844,2018-06-10 17:42:03 UTC
1908,400987450,83509,17223,2018-06-25,pre,Uruguay,Russia,0.3724,0.3372,0.2904,2018-06-10 17:42:03 UTC
1908,400987452,17224,74716,2018-06-25,pre,Spain,Morocco,0.6614,0.1175,0.221,2018-06-10 17:42:03 UTC
1908,400987451,74621,17222,2018-06-25,pre,Iran,Portugal,0.1353,0.5918,0.2729,2018-06-10 17:42:03 UTC
1908,400987454,17214,17216,2018-06-26,pre,Denmark,France,0.2121,0.5398,0.2482,2018-06-10 17:42:03 UTC
1908,400987453,74630,74808,2018-06-26,pre,Australia,Peru,0.2458,0.4852,0.269,2018-06-10 17:42:03 UTC
1908,400987456,65687,17212,2018-06-26,pre,Iceland,Croatia,0.2064,0.5316,0.2619,2018-06-10 17:42:03 UTC
1908,400987455,74721,14462,2018-06-26,pre,Nigeria,Argentina,0.1493,0.5787,0.2721,2018-06-10 17:42:03 UTC
1908,400987457,14477,17225,2018-06-27,pre,Mexico,Sweden,0.3384,0.3709,0.2907,2018-06-10 17:42:03 UTC
1908,400987458,74634,17217,2018-06-27,pre,South Korea,Germany,0.0484,0.8203,0.1312,2018-06-10 17:42:03 UTC
1908,400987460,17226,14467,2018-06-27,pre,Switzerland,Costa Rica,0.5447,0.1924,0.2629,2018-06-10 17:42:03 UTC
1908,400987459,65694,14463,2018-06-27,pre,Serbia,Brazil,0.1326,0.6377,0.2297,2018-06-10 17:42:03 UTC
1908,400987461,74631,65710,2018-06-28,pre,Japan,Poland,0.3134,0.4188,0.2678,2018-06-10 17:42:03 UTC
1908,400987462,74723,74712,2018-06-28,pre,Senegal,Colombia,0.1882,0.5096,0.3023,2018-06-10 17:42:03 UTC
1908,400987463,17215,65707,2018-06-28,pre,England,Belgium,0.36,0.3509,0.2892,2018-06-10 17:42:03 UTC
1908,400987464,74918,74636,2018-06-28,pre,Panama,Tunisia,0.3212,0.3746,0.3043,2018-06-10 17:42:03 UTC
